Year	Month	Nos of passenger
1950	1	112
1950	2	118
1950	3	132
1950	4	129
1950	5	121
1950	6	135
1950	7	148
1950	8	148
1950	9	136
1950	10	119
1950	11	104
1950	12	118
1951	1	115
1951	2	126
1951	3	141
1951	4	135
1951	5	125
1951	6	149
1951	7	170
1951	8	170
1951	9	158
1951	10	133
1951	11	114
1951	12	140
1952	1	145
1952	2	150
1952	3	178
1952	4	163
1952	5	172
1952	6	178
1952	7	199
1952	8	199
1952	9	184
1952	10	162
1952	11	146
1952	12	166
1953	1	171
1953	2	180
1953	3	193
1953	4	181
1953	5	183
1953	6	218
1953	7	230
1953	8	242
1953	9	209
1953	10	191
1953	11	172
1953	12	194
1954	1	196
1954	2	196
1954	3	236
1954	4	235
1954	5	229
1954	6	243
1954	7	264
1954	8	272
1954	9	237
1954	10	211
1954	11	180
1954	12	201
1955	1	204
1955	2	188
1955	3	235
1955	4	227
1955	5	234
1955	6	264
1955	7	302
1955	8	293
1955	9	259
1955	10	229
1955	11	203
1955	12	229
1956	1	242
1956	2	233
1956	3	267
1956	4	269
1956	5	270
1956	6	315
1956	7	364
1956	8	347
1956	9	312
1956	10	274
1956	11	237
1956	12	278
1957	1	284
1957	2	277
1957	3	317
1957	4	313
1957	5	318
1957	6	374
1957	7	413
1957	8	405
1957	9	355
1957	10	306
1957	11	271
1957	12	306
1958	1	315
1958	2	301
1958	3	356
1958	4	348
1958	5	355
1958	6	422
1958	7	465
1958	8	467
1958	9	404
1958	10	347
1958	11	305
1958	12	336
1959	1	340
1959	2	318
1959	3	362
1959	4	348
1959	5	363
1959	6	435
1959	7	491
1959	8	505
1959	9	404
1959	10	359
1959	11	310
1959	12	337
1960	1	360
1960	2	342
1960	3	406
1960	4	396
1960	5	420
1960	6	472
1960	7	548
1960	8	559
1960	9	463
1960	10	407
1960	11	362
1960	12	405
1961	1	417
1961	2	391
1961	3	419
1961	4	461
1961	5	472
1961	6	535
1961	7	622
1961	8	606
1961	9	508
1961	10	461
1961	11	390
1961	12	432
